,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol
878,International Game Technology PLC,12.6,Low ESG Risk,Consumer Services,NYS,IGT
2746,"America's Car-Mart, Inc.",12.7,Low ESG Risk,Retailing,NAS,CRMT
1920,Bicycle Therapeutics Plc,12.7,Low ESG Risk,Pharmaceuticals,NAS,BCYC
796,"Tempur Sealy International, Inc.",12.7,Low ESG Risk,Consumer Durables,NYS,TPX
3559,"Chiyoda Integre Co., Ltd.",12.7,Low ESG Risk,Technology Hardware,TKS,6915
1992,"Thermo Fisher Scientific, Inc.",12.7,Low ESG Risk,Pharmaceuticals,NYS,TMO
2855,"Inaba Denkisangyo Co., Ltd.",12.7,Low ESG Risk,Retailing,TKS,9934
1997,Waters Corp.,12.8,Low ESG Risk,Pharmaceuticals,NYS,WAT
2759,"AutoNation, Inc.",12.8,Low ESG Risk,Retailing,NYS,AN
46,"Gentherm, Inc.",12.8,Low ESG Risk,Auto Components,NAS,THRM
2929,Pets At Home Group Plc,12.8,Low ESG Risk,Retailing,LON,PETS
2833,Genuine Parts Co.,12.8,Low ESG Risk,Retailing,NYS,GPC
648,Robert Walters Plc,12.8,Low ESG Risk,Commercial Services,LON,RWA
2904,"Monro, Inc.",12.8,Low ESG Risk,Retailing,NAS,MNRO
2504,"Nomura Real Estate Master Fund, Inc.",12.8,Low ESG Risk,Real Estate,TKS,3462
3428,"Udemy, Inc.",12.8,Low ESG Risk,Software & Services,NAS,UDMY
2980,"The Home Depot, Inc.",12.8,Low ESG Risk,Retailing,NYS,HD
2269,"EastGroup Properties, Inc.",12.8,Low ESG Risk,Real Estate,NYS,EGP
772,"Newell Brands, Inc.",12.8,Low ESG Risk,Consumer Durables,NAS,NWL
3773,Spirent Communications Plc,12.8,Low ESG Risk,Technology Hardware,LON,SPT
3705,Murata Manufacturing Co. Ltd.,12.8,Low ESG Risk,Technology Hardware,TKS,6981
3564,"Cisco Systems, Inc.",12.9,Low ESG Risk,Technology Hardware,NAS,CSCO
2346,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",12.9,Low ESG Risk,Real Estate,NYS,HASI
650,RWS Holdings Plc,12.9,Low ESG Risk,Commercial Services,LON,RWS
3527,Amano Corp.,12.9,Low ESG Risk,Technology Hardware,TKS,6436
1704,Ascential Plc,12.9,Low ESG Risk,Media,LON,ASCL
3340,"Okta, Inc.",12.9,Low ESG Risk,Software & Services,NAS,OKTA
3957,"Movado Group, Inc.",12.9,Low ESG Risk,Textiles & Apparel,NYS,MOV
2674,"UDR, Inc.",12.9,Low ESG Risk,Real Estate,NYS,UDR
2537,PennyMac Mortgage Investment Trust,12.9,Low ESG Risk,Real Estate,NYS,PMT
1742,"Cumulus Media, Inc.",12.9,Low ESG Risk,Media,NAS,CMLS
3384,Scout24 SE,12.9,Low ESG Risk,Software & Services,ETR,G24
3666,"Juniper Networks, Inc.",12.9,Low ESG Risk,Technology Hardware,NYS,JNPR
3373,Radware Ltd.,12.9,Low ESG Risk,Software & Services,NAS,RDWR
2403,"Japan Logistics Fund, Inc.",12.9,Low ESG Risk,Real Estate,TKS,8967
3780,"Tachibana Eletech Co., Ltd.",12.9,Low ESG Risk,Technology Hardware,TKS,8159
2367,"Host Hotels & Resorts, Inc.",12.9,Low ESG Risk,Real Estate,NAS,HST
2160,Assura Plc,12.9,Low ESG Risk,Real Estate,LON,AGR
2373,"Hulic Reit, Inc.",12.9,Low ESG Risk,Real Estate,TKS,3295
2677,United Urban Investment Corp.,13.0,Low ESG Risk,Real Estate,TKS,8960
3097,Tokyo Electron Ltd.,13.0,Low ESG Risk,Semiconductors,TKS,8035
632,"PERSOL Holdings Co., Ltd.",13.0,Low ESG Risk,Commercial Services,TKS,2181
2595,"Sabra Health Care REIT, Inc.",13.0,Low ESG Risk,Real Estate,NAS,SBRA
1101,Intermediate Capital Group Plc,13.0,Low ESG Risk,Diversified Financials,LON,ICG
2278,"Equinix, Inc.",13.0,Low ESG Risk,Real Estate,NAS,EQIX
15,Adient plc,13.0,Low ESG Risk,Auto Components,NYS,ADNT
3785,TE Connectivity Ltd.,13.0,Low ESG Risk,Technology Hardware,NYS,TEL
3549,Big Technologies Plc,13.0,Low ESG Risk,Technology Hardware,LON,BIG
1481,The Cigna Group,13.0,Low ESG Risk,Healthcare,NYS,CI
3747,"Riken Keiki Co., Ltd.",13.0,Low ESG Risk,Technology Hardware,TKS,7734
680,"TrueBlue, Inc.",13.0,Low ESG Risk,Commercial Services,NYS,TBI
2606,Schroder Real Estate Investment Trust Ltd.,13.0,Low ESG Risk,Real Estate,LON,SREI
2661,The UNITE Group Plc,13.0,Low ESG Risk,Real Estate,LON,UTG
123,"Harley-Davidson, Inc.",13.1,Low ESG Risk,Automobiles,NYS,HOG
1486,"Utah Medical Products, Inc.",13.1,Low ESG Risk,Healthcare,NAS,UTMD
4372,Severn Trent Plc,13.1,Low ESG Risk,Utilities,LON,SVT
2258,DiamondRock Hospitality Co.,13.1,Low ESG Risk,Real Estate,NYS,DRH
536,Befesa SA,13.1,Low ESG Risk,Commercial Services,ETR,BFSA
817,"Yonex Co., Ltd.",13.1,Low ESG Risk,Consumer Durables,TKS,7906
4079,Deutsche Post AG,13.1,Low ESG Risk,Transportation,ETR,DHL
734,DFS Furniture Plc,13.1,Low ESG Risk,Consumer Durables,LON,DFS
2250,Daiwa House REIT Investment Corp.,13.1,Low ESG Risk,Real Estate,TKS,8984
863,"Frontdoor, Inc.",13.1,Low ESG Risk,Consumer Services,NAS,FTDR
2649,Supermarket Income REIT Plc,13.1,Low ESG Risk,Real Estate,LON,SUPR
3054,Infineon Technologies AG,13.1,Low ESG Risk,Semiconductors,ETR,IFX
1782,"John Wiley & Sons, Inc.",13.1,Low ESG Risk,Media,NYS,WLY
2129,alstria office REIT-AG,13.1,Low ESG Risk,Real Estate,ETR,AOX
2407,JBG SMITH Properties,13.1,Low ESG Risk,Real Estate,NYS,JBGS
2836,"Group 1 Automotive, Inc.",13.1,Low ESG Risk,Retailing,NYS,GPI
3568,"Climb Global Solutions, Inc.",13.1,Low ESG Risk,Technology Hardware,NAS,CLMB
3159,Booz Allen Hamilton Holding Corp.,13.1,Low ESG Risk,Software & Services,NYS,BAH
739,"Ethan Allen Interiors, Inc.",13.1,Low ESG Risk,Consumer Durables,NYS,ETD
2126,"Alexandria Real Estate Equities, Inc.",13.1,Low ESG Risk,Real Estate,NYS,ARE
762,"LiveWire Group, Inc.",13.1,Low ESG Risk,Consumer Durables,NYS,LVWR
1855,The E.W. Scripps Co.,13.2,Low ESG Risk,Media,NAS,SSP
1525,Taylor Wimpey Plc,13.2,Low ESG Risk,Homebuilders,LON,TW
3087,Semtech Corp.,13.2,Low ESG Risk,Semiconductors,NAS,SMTC
3523,"Agilysys, Inc.",13.2,Low ESG Risk,Technology Hardware,NAS,AGYS
2966,Superdry Plc,13.2,Low ESG Risk,Retailing,LON,SDRY
994,Sealed Air Corp.,13.2,Low ESG Risk,Containers & Packaging,NYS,SEE
2625,SL Green Realty Corp.,13.2,Low ESG Risk,Real Estate,NYS,SLG
3075,NVIDIA Corp.,13.2,Low ESG Risk,Semiconductors,NAS,NVDA
799,"Tomy Co., Ltd.",13.2,Low ESG Risk,Consumer Durables,TKS,7867
1679,"Watts Water Technologies, Inc.",13.2,Low ESG Risk,Machinery,NYS,WTS
3122,"Akamai Technologies, Inc.",13.3,Low ESG Risk,Software & Services,NAS,AKAM
3316,NCC Group Plc,13.3,Low ESG Risk,Software & Services,LON,NCC
2653,"Tanger, Inc.",13.3,Low ESG Risk,Real Estate,NYS,SKT
2229,"Comforia Residential REIT, Inc.",13.3,Low ESG Risk,Real Estate,TKS,3282
3266,International Business Machines Corp.,13.3,Low ESG Risk,Software & Services,NYS,IBM
591,"INABA SEISAKUSHO Co., Ltd.",13.3,Low ESG Risk,Commercial Services,TKS,3421
593,"insource Co., Ltd.",13.3,Low ESG Risk,Commercial Services,TKS,6200
3216,"Electronic Arts, Inc.",13.3,Low ESG Risk,Software & Services,NAS,EA
2990,Tractor Supply Co.,13.3,Low ESG Risk,Retailing,NAS,TSCO
2151,Ares Commercial Real Estate Corp.,13.3,Low ESG Risk,Real Estate,NYS,ACRE
2785,CECONOMY AG,13.3,Low ESG Risk,Retailing,ETR,CEC
3351,"Palo Alto Networks, Inc.",13.4,Low ESG Risk,Software & Services,NAS,PANW
3877,adidas AG,13.4,Low ESG Risk,Textiles & Apparel,ETR,ADS
1551,Aviva Plc,13.4,Low ESG Risk,Insurance,LON,AV
1435,McKesson Corp.,13.4,Low ESG Risk,Healthcare,NYS,MCK
643,Rentokil Initial Plc,13.4,Low ESG Risk,Commercial Services,LON,RTO
809,Videndum Plc,13.4,Low ESG Risk,Consumer Durables,LON,VID
85,"PIOLAX, Inc.",13.4,Low ESG Risk,Auto Components,TKS,5988
4010,Air Lease Corp.,13.4,Low ESG Risk,Traders & Distributors,NYS,AL
3082,"QUALCOMM, Inc.",13.4,Low ESG Risk,Semiconductors,NAS,QCOM
2166,Balanced Commercial Property Trust Ltd.,13.4,Low ESG Risk,Real Estate,LON,BCPT
3249,"Guidewire Software, Inc.",13.4,Low ESG Risk,Software & Services,NYS,GWRE
3949,Levi Strauss & Co.,13.4,Low ESG Risk,Textiles & Apparel,NYS,LEVI
2669,Tosei REIT Investment Corp.,13.4,Low ESG Risk,Real Estate,TKS,3451
1136,"Nasdaq, Inc.",13.4,Low ESG Risk,Diversified Financials,NAS,NDAQ
3768,"Shinko Shoji Co., Ltd.",13.5,Low ESG Risk,Technology Hardware,TKS,8141
1972,QIAGEN NV,13.5,Low ESG Risk,Pharmaceuticals,NYS,QGEN
3408,Team17 Group PLC,13.5,Low ESG Risk,Software & Services,LON,TM17
2252,Daiwa Securities Living Investment Corp.,13.5,Low ESG Risk,Real Estate,TKS,8986
2257,Deutsche Wohnen SE,13.5,Low ESG Risk,Real Estate,ETR,DWNI
741,Games Workshop Group Plc,13.5,Low ESG Risk,Consumer Durables,LON,GAW
2424,Kilroy Realty Corp.,13.5,Low ESG Risk,Real Estate,NYS,KRC
3890,Birkenstock Holding Plc,13.5,Low ESG Risk,Textiles & Apparel,NYS,BIRK
2783,"Carter's, Inc.",13.5,Low ESG Risk,Retailing,NYS,CRI
355,Paragon Banking Group Plc,13.5,Low ESG Risk,Banks,LON,PAG
3598,Elematec Corp.,13.5,Low ESG Risk,Technology Hardware,TKS,2715
3987,"Tapestry, Inc.",13.5,Low ESG Risk,Textiles & Apparel,NYS,TPR
3915,"Fossil Group, Inc.",13.5,Low ESG Risk,Textiles & Apparel,NAS,FOSL
1270,Coca-Cola Europacific Partners plc,13.6,Low ESG Risk,Food Products,NAS,CCEP
642,Renewi Plc,13.6,Low ESG Risk,Commercial Services,LON,RWI
1436,Medios AG,13.6,Low ESG Risk,Healthcare,ETR,ILM1
3039,"Axcelis Technologies, Inc.",13.6,Low ESG Risk,Semiconductors,NAS,ACLS
3571,"CommScope Holding Co., Inc.",13.6,Low ESG Risk,Technology Hardware,NAS,COMM
751,"JAKKS Pacific, Inc.",13.6,Low ESG Risk,Consumer Durables,NAS,JAKK
585,"HireQuest, Inc.",13.6,Low ESG Risk,Commercial Services,NAS,HQI
4068,"Avis Budget Group, Inc.",13.6,Low ESG Risk,Transportation,NAS,CAR
1410,Fresenius SE & Co. KGaA,13.6,Low ESG Risk,Healthcare,ETR,FRE
746,"Hayward Holdings, Inc.",13.7,Low ESG Risk,Consumer Durables,NYS,HAYW
2318,Fukuoka REIT Corp.,13.7,Low ESG Risk,Real Estate,TKS,8968
748,Hooker Furnishings Corp.,13.7,Low ESG Risk,Consumer Durables,NAS,HOFT
2384,Industrial & Infrastructure Fund Investment Corp.,13.7,Low ESG Risk,Real Estate,TKS,3249
3671,KEYENCE Corp.,13.7,Low ESG Risk,Technology Hardware,TKS,6861
1632,CNH Industrial NV,13.7,Low ESG Risk,Machinery,NYS,CNH
1106,IP Group Plc,13.7,Low ESG Risk,Diversified Financials,LON,IPO
2798,Currys Plc,13.7,Low ESG Risk,Retailing,LON,CURY
3532,"Arista Networks, Inc.",13.7,Low ESG Risk,Technology Hardware,NYS,ANET
3774,"Star Micronics Co., Ltd.",13.7,Low ESG Risk,Technology Hardware,TKS,7718
4022,Brenntag SE,13.7,Low ESG Risk,Traders & Distributors,ETR,BNR
3184,Computacenter Plc,13.8,Low ESG Risk,Software & Services,LON,CCC
869,"Grand Canyon Education, Inc.",13.8,Low ESG Risk,Consumer Services,NAS,LOPE
2634,"STAG Industrial, Inc.",13.8,Low ESG Risk,Real Estate,NYS,STAG
108,"Toyoda Gosei Co., Ltd.",13.8,Low ESG Risk,Auto Components,TKS,7282
3241,Genpact Ltd.,13.8,Low ESG Risk,Software & Services,NYS,G
2665,"TOKYU REIT, Inc.",13.8,Low ESG Risk,Real Estate,TKS,8957
2405,Japan Prime Realty Investment Corp.,13.8,Low ESG Risk,Real Estate,TKS,8955
2694,Vornado Realty Trust,13.8,Low ESG Risk,Real Estate,NYS,VNO
779,Roland Corp.,13.9,Low ESG Risk,Consumer Durables,TKS,7944
1975,"Recursion Pharmaceuticals, Inc.",13.9,Low ESG Risk,Pharmaceuticals,NAS,RXRX
3729,"PC Connection, Inc.",13.9,Low ESG Risk,Technology Hardware,NAS,CNXN
1129,"MarketAxess Holdings, Inc.",13.9,Low ESG Risk,Diversified Financials,NAS,MKTX
2248,Custodian Property Income REIT Plc,13.9,Low ESG Risk,Real Estate,LON,CREI
2696,"W.P. Carey, Inc.",13.9,Low ESG Risk,Real Estate,NYS,WPC
3024,"Advanced Micro Devices, Inc.",13.9,Low ESG Risk,Semiconductors,NAS,AMD
2280,"Equity LifeStyle Properties, Inc.",13.9,Low ESG Risk,Real Estate,NYS,ELS
2114,Acadia Realty Trust,13.9,Low ESG Risk,Real Estate,NYS,AKR
3129,Amdocs Ltd.,13.9,Low ESG Risk,Software & Services,NAS,DOX
1852,"TEGNA, Inc.",13.9,Low ESG Risk,Media,NYS,TGNA
3402,"Synopsys, Inc.",13.9,Low ESG Risk,Software & Services,NAS,SNPS
2691,"VICI Properties, Inc.",13.9,Low ESG Risk,Real Estate,NYS,VICI
2853,Howden Joinery Group Plc,13.9,Low ESG Risk,Retailing,LON,HWDN
3273,Kainos Group Plc,14.0,Low ESG Risk,Software & Services,LON,KNOS
2820,"FAST RETAILING CO., LTD.",14.0,Low ESG Risk,Retailing,TKS,9983
2766,"Best Buy Co., Inc.",14.0,Low ESG Risk,Retailing,NYS,BBY
613,Marlowe Plc,14.0,Low ESG Risk,Commercial Services,LON,MRL
771,"Mohawk Industries, Inc.",14.0,Low ESG Risk,Consumer Durables,NYS,MHK
2334,"Granite Point Mortgage Trust, Inc.",14.0,Low ESG Risk,Real Estate,NYS,GPMT
4029,Ferguson Plc,14.0,Low ESG Risk,Traders & Distributors,NYS,FERG
1849,STV Group Plc,14.0,Low ESG Risk,Media,LON,STVG
1351,US Foods Holding Corp.,14.0,Low ESG Risk,Food Retailers,NYS,USFD
3970,Ralph Lauren Corp.,14.0,Low ESG Risk,Textiles & Apparel,NYS,RL
307,Investec Plc,14.0,Low ESG Risk,Banks,LON,INVP
4217,Fraport AG Frankfurt Airport Services Worldwide,14.1,Low ESG Risk,Transportation Infrastructure,ETR,FRA
2906,Motorpoint Group Plc,14.1,Low ESG Risk,Retailing,LON,MOTR
1713,Bloomsbury Publishing Plc,14.1,Low ESG Risk,Media,LON,BMY
2137,"Americold Realty Trust, Inc.",14.1,Low ESG Risk,Real Estate,NYS,COLD
3120,"Adobe, Inc.",14.1,Low ESG Risk,Software & Services,NAS,ADBE
1809,Paramount Global,14.1,Low ESG Risk,Media,NAS,PARA
1859,"Thryv Holdings, Inc.",14.1,Low ESG Risk,Media,NAS,THRY
3209,"E2open Parent Holdings, Inc.",14.1,Low ESG Risk,Software & Services,NYS,ETWO
2866,"Joshin Denki Co., Ltd.",14.1,Low ESG Risk,Retailing,TKS,8173
2333,Grand City Properties SA,14.1,Low ESG Risk,Real Estate,ETR,GYC
674,"Tetra Tech, Inc.",14.1,Low ESG Risk,Commercial Services,NAS,TTEK
2786,Central Garden & Pet Co.,14.1,Low ESG Risk,Retailing,NAS,CENT
798,The Lovesac Co.,14.1,Low ESG Risk,Consumer Durables,NAS,LOVE
2528,"Park Hotels & Resorts, Inc.",14.1,Low ESG Risk,Real Estate,NYS,PK
2134,"American Assets Trust, Inc.",14.2,Low ESG Risk,Real Estate,NYS,AAT
3721,OMRON Corp.,14.2,Low ESG Risk,Technology Hardware,TKS,6645
3905,Deckers Outdoor Corp.,14.2,Low ESG Risk,Textiles & Apparel,NYS,DECK
3660,"Iteris, Inc.",14.2,Low ESG Risk,Technology Hardware,NAS,ITI
3633,Hioki E.E. Corp.,14.2,Low ESG Risk,Technology Hardware,TKS,6866
3627,"Hakuto Co., Ltd.",14.2,Low ESG Risk,Technology Hardware,TKS,7433
1511,KB Home,14.2,Low ESG Risk,Homebuilders,NYS,KBH
3303,Microsoft Corp.,14.2,Low ESG Risk,Software & Services,NAS,MSFT
2417,"Keihanshin Building Co., Ltd.",14.2,Low ESG Risk,Real Estate,TKS,8818
2184,Camden Property Trust,14.2,Low ESG Risk,Real Estate,NYS,CPT
2292,"Extra Space Storage, Inc.",14.2,Low ESG Risk,Real Estate,NYS,EXR
2978,"The Children's Place, Inc.",14.2,Low ESG Risk,Retailing,NAS,PLCE
4101,"J.B. Hunt Transport Services, Inc.",14.3,Low ESG Risk,Transportation,NAS,JBHT
3746,"Ricoh Co., Ltd.",14.3,Low ESG Risk,Technology Hardware,TKS,7752
3711,"NetApp, Inc.",14.3,Low ESG Risk,Technology Hardware,NAS,NTAP
527,"ABM Industries, Inc.",14.3,Low ESG Risk,Commercial Services,NYS,ABM
1362,Advanced Medical Solutions Group Plc,14.3,Low ESG Risk,Healthcare,LON,AMS
554,Concentrix Corp.,14.3,Low ESG Risk,Commercial Services,NAS,CNXC
4088,FirstGroup Plc,14.3,Low ESG Risk,Transportation,LON,FGP
785,"Shimano, Inc.",14.3,Low ESG Risk,Consumer Durables,TKS,7309
2793,"Chori Co., Ltd.",14.3,Low ESG Risk,Retailing,TKS,8014
1093,Hargreaves Lansdown Plc,14.3,Low ESG Risk,Diversified Financials,LON,HL
2312,"Franklin BSP Realty Trust, Inc.",14.3,Low ESG Risk,Real Estate,NYS,FBRT
3003,"VT Holdings Co., Ltd.",14.3,Low ESG Risk,Retailing,TKS,7593
747,Helen of Troy Ltd.,14.4,Low ESG Risk,Consumer Durables,NAS,HELE
3229,"Fidelity National Information Services, Inc.",14.4,Low ESG Risk,Software & Services,NYS,FIS
2754,"Asbury Automotive Group, Inc.",14.4,Low ESG Risk,Retailing,NYS,ABG
1597,Prudential Plc,14.4,Low ESG Risk,Insurance,LON,PRU
3999,VF Corp.,14.4,Low ESG Risk,Textiles & Apparel,NYS,VFC
2624,SITE Centers Corp.,14.4,Low ESG Risk,Real Estate,NYS,SITC
1134,"MSCI, Inc.",14.4,Low ESG Risk,Diversified Financials,NYS,MSCI
3912,"FIGS, Inc.",14.4,Low ESG Risk,Textiles & Apparel,NYS,FIGS
3061,"Kulicke & Soffa Industries, Inc.",14.4,Low ESG Risk,Semiconductors,NAS,KLIC
2892,"lululemon athletica, Inc.",14.4,Low ESG Risk,Retailing,NAS,LULU
3865,Vodafone Group Plc,14.4,Low ESG Risk,Telecommunication Services,LON,VOD
1718,"Cable One, Inc.",14.4,Low ESG Risk,Media,NYS,CABO
2404,Japan Metropolitan Fund Investment Corp.,14.4,Low ESG Risk,Real Estate,TKS,8953
2623,Sirius Real Estate Ltd.,14.5,Low ESG Risk,Real Estate,LON,SRE
3667,"Kaga Electronics Co., Ltd.",14.5,Low ESG Risk,Technology Hardware,TKS,8154
3130,"ANSYS, Inc.",14.5,Low ESG Risk,Software & Services,NAS,ANSS
1394,ConvaTec Group Plc,14.5,Low ESG Risk,Healthcare,LON,CTEC
1438,"Menicon Co., Ltd.",14.5,Low ESG Risk,Healthcare,TKS,7780
4361,"Ormat Technologies, Inc.",14.5,Low ESG Risk,Utilities,NYS,ORA
3712,"NETGEAR, Inc.",14.5,Low ESG Risk,Technology Hardware,NAS,NTGR
2640,"Sun Communities, Inc.",14.5,Low ESG Risk,Real Estate,NYS,SUI
2956,Signet Jewelers Ltd.,14.5,Low ESG Risk,Retailing,NYS,SIG
1419,"Henry Schein, Inc.",14.5,Low ESG Risk,Healthcare,NAS,HSIC
3042,"Cirrus Logic, Inc.",14.5,Low ESG Risk,Semiconductors,NAS,CRUS
2795,Columbia Sportswear Co.,14.5,Low ESG Risk,Retailing,NAS,COLM
780,Sangetsu Corp.,14.5,Low ESG Risk,Consumer Durables,TKS,8130
3123,Alfa Financial Software Holdings Plc,14.5,Low ESG Risk,Software & Services,LON,ALFA
732,"Daikoku Denki Co., Ltd.",14.5,Low ESG Risk,Consumer Durables,TKS,6430
3345,Oracle Corp.,14.5,Low ESG Risk,Software & Services,NYS,ORCL
1807,"Omnicom Group, Inc.",14.5,Low ESG Risk,Media,NYS,OMC
3563,Ciena Corp.,14.5,Low ESG Risk,Technology Hardware,NYS,CIEN
2474,"Mirarth Holdings, Inc.",14.6,Low ESG Risk,Real Estate,TKS,8897
3946,"Kontoor Brands, Inc.",14.6,Low ESG Risk,Textiles & Apparel,NYS,KTB
1945,Haleon Plc,14.6,Low ESG Risk,Pharmaceuticals,LON,HLN
2478,"Mitsui Fudosan Logistics Park, Inc.",14.6,Low ESG Risk,Real Estate,TKS,3471
98,"Standard Motor Products, Inc.",14.6,Low ESG Risk,Auto Components,NYS,SMP
1746,Daily Journal Corp.,14.6,Low ESG Risk,Media,NAS,DJCO
3027,"Allegro MicroSystems, Inc.",14.6,Low ESG Risk,Semiconductors,NAS,ALGM
2192,"CareTrust REIT, Inc.",14.6,Low ESG Risk,Real Estate,NYS,CTRE
623,NISSO HOLDINGS Co. Ltd.,14.6,Low ESG Risk,Commercial Services,TKS,9332
565,"en Japan, Inc.",14.6,Low ESG Risk,Commercial Services,TKS,4849
3379,"Salesforce, Inc.",14.6,Low ESG Risk,Software & Services,NYS,CRM
1132,Moody's Corp.,14.6,Low ESG Risk,Diversified Financials,NYS,MCO
3674,"Konica Minolta, Inc.",14.6,Low ESG Risk,Technology Hardware,TKS,4902
3690,"Macnica Holdings, Inc.",14.6,Low ESG Risk,Technology Hardware,TKS,3132
3256,"HubSpot, Inc.",14.6,Low ESG Risk,Software & Services,NYS,HUBS
2115,Advance Logistics Investment Corp.,14.6,Low ESG Risk,Real Estate,TKS,3493
1487,"Veeva Systems, Inc.",14.7,Low ESG Risk,Healthcare,NYS,VEEV
2988,Topps Tiles Plc,14.7,Low ESG Risk,Retailing,LON,TPT
2809,"Doshisha Co., Ltd.",14.7,Low ESG Risk,Retailing,TKS,7483
965,Amcor Plc,14.7,Low ESG Risk,Containers & Packaging,NYS,AMCR
2310,"Four Corners Property Trust, Inc.",14.7,Low ESG Risk,Real Estate,NYS,FCPT
1827,RTL Group SA,14.7,Low ESG Risk,Media,ETR,RRTL
3254,HomeToGo SE,14.7,Low ESG Risk,Software & Services,ETR,HTG
2828,"Funko, Inc.",14.7,Low ESG Risk,Retailing,NAS,FNKO
539,Bilfinger SE,14.7,Low ESG Risk,Commercial Services,ETR,GBF
3755,"Sanshin Electronics Co., Ltd.",14.7,Low ESG Risk,Technology Hardware,TKS,8150
2656,Terreno Realty Corp.,14.7,Low ESG Risk,Real Estate,NYS,TRNO
2596,"Safehold, Inc.",14.7,Low ESG Risk,Real Estate,NYS,SAFE
2585,Rithm Capital Corp.,14.7,Low ESG Risk,Real Estate,NYS,RITM
1586,Münchener Rückversicherungs-Gesellschaft AG,14.7,Low ESG Risk,Insurance,ETR,MUV2
2578,"Relo Group, Inc.",14.7,Low ESG Risk,Real Estate,TKS,8876
2579,Residential Secure Income Plc,14.7,Low ESG Risk,Real Estate,LON,RESI
1863,"Toho Co., Ltd. (9602)",14.8,Low ESG Risk,Media,TKS,9602
1764,"Gannett Co., Inc.",14.8,Low ESG Risk,Media,NYS,GCI
2347,Harworth Group Plc,14.8,Low ESG Risk,Real Estate,LON,HWG
3164,Bytes Technology Group Plc,14.8,Low ESG Risk,Software & Services,LON,BYIT
2320,"Gaming & Leisure Properties, Inc.",14.8,Low ESG Risk,Real Estate,NAS,GLPI
30,"Dana, Inc.",14.8,Low ESG Risk,Auto Components,NYS,DAN
436,"Air Products & Chemicals, Inc.",14.8,Low ESG Risk,Chemicals,NYS,APD
639,"Radius Recycling, Inc.",14.8,Low ESG Risk,Commercial Services,NAS,RDUS
725,"Arlo Technologies, Inc.",14.8,Low ESG Risk,Consumer Durables,NYS,ARLO
4151,Sixt SE,14.8,Low ESG Risk,Transportation,ETR,SIX2
3454,"Zoom Video Communications, Inc.",14.8,Low ESG Risk,Software & Services,NAS,ZM
1142,"OneMain Holdings, Inc.",14.8,Low ESG Risk,Diversified Financials,NYS,OMF
989,"O-I Glass, Inc.",14.8,Low ESG Risk,Containers & Packaging,NYS,OI
2924,Paltac Corp.,14.8,Low ESG Risk,Retailing,TKS,8283
1715,Borussia Dortmund GmbH & Co. KGaA,14.8,Low ESG Risk,Media,ETR,BVB
3240,Gen Digital Inc.,14.8,Low ESG Risk,Software & Services,NAS,GEN
2144,"Apollo Commercial Real Estate Finance, Inc.",14.9,Low ESG Risk,Real Estate,NYS,ARI
2416,KDX Realty Investment Corp.,14.9,Low ESG Risk,Real Estate,TKS,8972
2499,"Nippon Building Fund, Inc.",14.9,Low ESG Risk,Real Estate,TKS,8951
2779,"Camping World Holdings, Inc.",14.9,Low ESG Risk,Retailing,NYS,CWH
2536,Pebblebrook Hotel Trust,14.9,Low ESG Risk,Real Estate,NYS,PEB
3335,Nomura Research Institute Ltd.,14.9,Low ESG Risk,Software & Services,TKS,4307
2609,Service Properties Trust,14.9,Low ESG Risk,Real Estate,NAS,SVC
0,HENSOLDT AG,14.9,Low ESG Risk,Aerospace & Defense,ETR,HAG
1660,NORMA Group SE,14.9,Low ESG Risk,Machinery,ETR,NOEJ
1393,CompuGroup Medical Societas Europaea,14.9,Low ESG Risk,Healthcare,ETR,COP
685,"Visional, Inc.",14.9,Low ESG Risk,Commercial Services,TKS,4194
364,Regions Financial Corp.,14.9,Low ESG Risk,Banks,NYS,RF
871,"H&R Block, Inc.",14.9,Low ESG Risk,Consumer Services,NYS,HRB
765,"Mattel, Inc.",14.9,Low ESG Risk,Consumer Durables,NAS,MAT
3718,"nLIGHT, Inc.",15.0,Low ESG Risk,Technology Hardware,NAS,LASR
3720,"Oki Electric Industry Co., Ltd.",15.0,Low ESG Risk,Technology Hardware,TKS,6703
3208,"Dynatrace, Inc.",15.0,Low ESG Risk,Software & Services,NYS,DT
978,FP Corp.,15.0,Low ESG Risk,Containers & Packaging,TKS,7947
3926,Gunze Ltd.,15.0,Low ESG Risk,Textiles & Apparel,TKS,3002
2304,"First Industrial Realty Trust, Inc.",15.0,Low ESG Risk,Real Estate,NYS,FR
3791,Tokyo Electron Device Ltd.,15.0,Low ESG Risk,Technology Hardware,TKS,2760
3386,"ServiceNow, Inc.",15.0,Low ESG Risk,Software & Services,NYS,NOW
3449,"Xperi, Inc.",15.0,Low ESG Risk,Software & Services,NYS,XPER
3434,"Visa, Inc.",15.0,Low ESG Risk,Software & Services,NYS,V
1857,The Walt Disney Co.,15.0,Low ESG Risk,Media,NYS,DIS
84,"Pacific Industrial Co., Ltd.",15.0,Low ESG Risk,Auto Components,TKS,7250
742,"GLOBERIDE, Inc.",15.0,Low ESG Risk,Consumer Durables,TKS,7990
1502,Crest Nicholson Holdings Plc,15.0,Low ESG Risk,Homebuilders,LON,CRST
